"instead , a grizzly bear with fur the color of milk chocolate lumbered toward us , equivalent in size to a young elephant i 'd once seen at the portland zoo .",elephant,animal
the topic had become a giant elephant in the room .,elephant,animal
"he would squeeze water out of elephant dung in his condition , like that skinny , self-proclaimed survivalist on the television that all the women were giddy about .",elephant,animal
"thick stems , broad leafs , and roots that could trip an elephant .",elephant,animal
all the pellets were being shot out of the ornamental elephant 's head opposite him .,elephant,animal.artifact.c
"mila jumps , her feet smacking against the porch with the force of a baby elephant .",elephant,animal
he was n't sure how to greet an elephant .,elephant,animal
"the old red bricks seemed to hold for a moment , but after the mortar that held them in place turned to sand , the wall collapsed inward , leaving a hole the size of an elephant .",elephant,animal
his last words : `` they could n't hit an elephant at this distance. ``,elephant,animal
you know there are leopards in here and warthogs with sharp teeth and pythons with enough venom to kill an elephant .,elephant,animal
"pancho grinned , showing a mouth like an elephant graveyard .",elephant,animal
but the position of elephant keeper was a coveted place of great responsibility .,elephant,animal
"an image of an elephant is one thing , however , but the reality is quite something else .",elephant,animal.nfs
"soldiers with half-pikes had already rushed to form a barricade between arangbar 's elephant and the tiger , but the moghul seemed unperturbed .",elephant,animal.location.c
"the sound grew louder until , suddenly , several tons of distressed elephant burst into the clearing before , with amazing agility , coming to a shuddering halt .",elephant,animal
"the dinosaur must be somewhere among the trees , but for a moment grant could see nothing at all .",dinosaur,animal
grigor leapt on to the dinosaur and they headed out of the room and towards the stairs .,dinosaur,animal.location.c
"arnie could turn into any dinosaur he could visualize , but his mass remained the same .",dinosaur,animal
"but timmie does n't , and he loves his dinosaur very much .",dinosaur,animal
"he had done lots of digging at the place called egg hill in montana , which was famous because so many dinosaur eggs had been found there .",dinosaur,animal
"`` actually , '' malcolm said , `` paleontologists have been finding fragments of dinosaur dna for years .",dinosaur,animal
is the little pink dinosaur crying egg-shaped tears ?,dinosaur,animal
again the roar of the winged dinosaur echoed through the mirror from his mother 's side and was answered by the beast on his side .,dinosaur,animal
this dinosaur is known only from a partial fragment .,dinosaur,animal
you could hide a dinosaur in there .,dinosaur,animal
"she told him , dont forget my dinosaur !",dinosaur,animal.nfs
"because , although it would be exciting to re-create a dinosaur , it was n't exactly a cure for cancer .",dinosaur,animal
"jenks had put a heavy layer of dust in the mix already , but a top dusting would flash it all into flame faster than any petroleum product made from dead dinosaur .",dinosaur,animal
i was so hungry at this point i would have happily eaten a dried out pig 's ear .,pig,animal
`` i 'm sorry i called you a pig . '',pig,animal
"she moved close enough for him to decipher that she had consumed her fair share of roasted pig and sherry and whispered , `` it could be better , if you gain my meaning . ''",pig,animal.food.c
"chandler finished off his plate , which consisted of half a pig 's worth of bacon .",pig,animal
that wild pig may have cracked your ribs . '',pig,animal
"anyone who kills the pig , will be fed to the ants .",pig,animal
"the pig turned round , holding the womans arm in one of his trotters , revealing that he was a police officer .",pig,animal
"as the tiger readies to open the belly of a wild pig shes just killed , the squad leader quietly drops to his knees , then lies on his stomach .",pig,animal
"`` occasionally , they used to sell me to other wizards -as one might sell a cow or a pig .",pig,animal
"i called su wei , but no one answers except this pig .",pig,animal
"she 's really excited about the pig , '' he said , shaking his head .",pig,animal.nfs
"we could have breakfast in bed- '' `` ooh , yes , and you can read us the peter rabbit stories like you used to , '' said caroline , who had the pink crochet pig on her lap .",pig,animal.artifact.c
"`` i found this cat wandering around , and i was wondering if you 'd recognize who his owner is . ''",cat,animal
"andrea and adam live with their cat , joybell , in boise , idaho .",cat,animal
the little cat lay on its side .,cat,animal
there was no barking dog or hidden cat waiting to pounce .,cat,animal
"within a few minutes her cat nature decreed that what could not be changed and was not repeated ceased to be of interest and could be forgotten ; but her territory was close by the cave and the breeze was blowing towards her from that direction , carrying something that was more intriguing than an isolated gunshot .",cat,animal
`` i think zachariah just stole our cat .,cat,animal
"i saved him from a cat , you know .",cat,animal
"perhaps with a sprig of dill , the cat added thoughtfully .",cat,animal
kanade stood and held the cat to her chest with a bright smile .,cat,animal
"`` coo-eee , `` she called out , sounding just like brenda does when she calls her cat .",cat,animal
"`` petey will eat that cat as soon as he sees it , '' david said .",cat,animal.food.c
i told the cat .,cat,animal
a cat can not fly .,cat,animal
"the sound of escaping air was the same sound captain scarburg and clem had heard as they stood in the midnight darkness , miles from anywhere , in a deserted cow pasture forty miles north of dallas , texas .",cow,animal
`` maybe the cow got caught in the rain .,cow,animal
"`` unless you 're concerned about a stampeding sheep or cow , i 'm perfectly fine .",cow,animal
"ronan did not poke the cow 's eye , but he did brush a finger through her soft , unblinking eyelashes .",cow,animal
but he had wanted much more than terror from his captive cow .,cow,animal
when i was fifteen james campbell stole a cow from my uncle fergus .,cow,animal
they doped every cow until all the parasites were gone .,cow,animal
"he flicked the cow and , once more , the big animal lurched forward to continue their journey .",cow,animal
a grading system is valuable in the cow industry .,cow,animal
"the fried snails , the sour crab roasts , the cheese-stuffed duckling and the fermented cow tongues brought memories back to alysse , but that was all they did .",cow,animal
"`` i did n't know a cow could kick anyone that far , '' said digger .",cow,animal
they left the cow behind and continued on to the largest of the barns .,cow,animal
"near him grazed an aurochs bull with a cow and a calf , close beside a lone rhinoceros asleep in a dust-hole .",cow,animal
what i meant to say is that my cow has killed yours !,cow,animal
"for some reason butterfly wings brushed insistently at her stomach , and she was instantly nervous .",butterfly,animal
"as i stared at him , the butterfly moved from my chest to my stomach .",butterfly,animal
she felt like the hungry caterpillar that buried itself deep within its cocoon and emerged as a radiant butterfly .,butterfly,animal
"maryellen watched katie chase a butterfly with her grandfather , who kept a close eye on her .",butterfly,animal
"for whatever reason , warden had n't told her about the butterfly .",butterfly,animal.nfs
he 'd only meant to tease a little since he 'd already seen that butterfly .,butterfly,animal
she picked up the dead butterfly and marched back toward the huts .,butterfly,animal
izzian blanched and quickly looked around to see of enot or gala had seen him freak out over a butterfly .,butterfly,animal.nfs
i would prefer a comparison to a scientist who discovered a new species of butterfly .,butterfly,animal
the butterfly danced and landed on the plant near kyle roberts and a smile crept across his lips .,butterfly,animal
did he see a butterfly and get distracted ?,butterfly,animal
"the monarch butterfly migrates directly through a spot on allingham island , answered the pastor .",butterfly,animal
"if you have ever seen a bird chasing a butterfly , and if you can imagine a more than gigantic bird chasing two perfectly insignificant butterflies among white mountains , then you can just begin to imagine the twistings , dodgings , hairbreadth escapes , and the wild zigzag rush of that flight home .",butterfly,animal
"i punched through stations with the remote until i found the local news , but it was nearly 8 a.m. and the only story featured was something about a dancing penguin who wrote opera .",penguin,animal
"the background was the ysu penguin , the mascot of the college team .",penguin,animal
"`` hey , i got a penguin from antarctica . ''",penguin,animal
irish looked at the six foot penguin .,penguin,animal
"the elves avoided his gaze then a penguin appeared , waddling up like it belonged here at the north pole .",penguin,animal
"he looked as if he would have been happier anywhere else , even at the south pole , addressing a penguin convention .",penguin,animal
"one of these days , i 'm gon na set up a flamin ' ice rink in our yard so she can have a pet penguin . ''",penguin,animal
the jackal stated emphatically poking the penguin in the chest .,penguin,animal
the tv blared gaudy music while a penguin and hippo sang on a pirate boat .,penguin,animal
"`` oh , and she brought you back a penguin . ''",penguin,animal
i went straight to the cove to check on the penguin nest .,penguin,animal
"she won two more times , tossing a stuffed penguin to a little boy , then keeping the other white thing for herself .",penguin,animal.artifact.c
"outside the window , a giant penguin peeks in the window and then walks away .",penguin,animal
"there was a pigeon sitting on the window sill , but the hearth was filled with peas .",pigeon,animal
"it was approached , humbly , by statues of a horse , a dog and possibly a carrier pigeon , though amanda had never ventured close enough to be sure .",pigeon,animal
"he could see daniel 's pigeon chest struggling for breath , hear the faint wheezing .",pigeon,animal
"when answered , he said , we seem to have it under control ... yes , have a pigeon , if we need one .",pigeon,animal
at every town send me a pigeon .,pigeon,animal
i took the pigeon cage outside onto the patio and opened it .,pigeon,animal
"although all i did is relocate myself into this pile of shit , he crossed the bridge ; he saw some fat pigeon which was having a hard time taking a further step .",pigeon,animal
"a lone pigeon wheeled free of the flock and , at bagabond 's command , sent itself soaring high into the sky .",pigeon,animal
"when just making the dish for monsieur chris and eian she often used pigeon instead of chicken , but some tourists balked at eating pigeon so she would use chicken instead .",pigeon,animal
"lofting awkwardly into a low tree branch , the pearl white pigeon paused , then launched herself to another tree .",pigeon,animal
"miss peregrine turned toward him and squawked , then looked back at the pigeon and squawked louder .",pigeon,animal
"she wrenched at the wheel , to avoid a pigeon sitting in the road , and nearly put the car in the hedge .",pigeon,animal
the pigeon burbled liquidly back at her .,pigeon,animal
"before she could get her fingers around it , though , miss peregrine severed the leash with a quick slash of her talons , clamped down with her beak on one of the pigeon 's twiggy legs , and bounded away , the pigeon screeching and flailing .",pigeon,animal
a thousand pounds of gold and an ordinary pigeon ?,pigeon,animal
he had noticed earlier that the barmaid was definitely a mammal .,mammal,animal
